,blue_alt,red_alt,angle_off,aspect_angle,Rmax
73,27285.36280613211,23779.605016824138,169.2393331526677,2.006639446043067,-26.0
74,31776.83912485094,7136.7971344984335,134.4998457209914,-66.95206342321181,-21.5
75,39534.54560001318,31856.19880857301,-18.867289325097943,-56.12384461501949,-20.0
76,12621.076042098763,21998.81266819573,35.9934128088986,-36.6463091570117,-19.0
77,33055.852335725314,17406.659286344875,-87.3674059894205,14.74341839423002,-26.0
78,41316.84163482054,2445.3318350744576,-27.15071978974464,-77.86843246964581,-22.0
79,9683.311891256086,16676.44107533322,142.08754556027372,7.465902669725793,-23.0
80,41012.50007889852,22338.11683548174,130.69640472139872,-28.450424105871136,-25.5
81,47097.78455332905,21371.33163013239,166.06394836584843,-43.864877767922536,-25.0
82,37981.49752297075,27639.578115143428,-44.48175320639581,-33.91902878203224,-23.5
83,36985.700095249245,47969.75558705386,153.94160626267535,12.653625734574874,-23.0
84,31460.010985244055,42710.830826040175,-165.13299387246863,36.5340140717483,-18.5
85,44054.69368044529,25757.46155226286,-152.2518917540437,-0.5433010782156344,-28.0
86,4644.684939392122,34917.29466146811,-79.26713358173458,-38.76827215483255,-14.0
87,5562.407798969068,23159.946609574497,22.421288267044673,-48.30390475417947,-16.0
88,42410.88836802119,29814.07266140516,160.85611786695893,75.81834958164183,-18.0
89,45722.75271795742,35937.990184196315,155.55308735126687,-89.45828864258216,-14.0
90,23192.453448767516,39802.70799653483,62.56696647925514,39.926649757148084,-17.0
91,41013.75818947914,14831.66536130721,-3.591276596749566,1.9545752283999605,-28.0
92,16415.396202837605,2511.7836959514852,150.73564223901172,4.526470003717435,-28.0
93,26341.67231112906,49677.657568090515,-86.12599366604304,-14.24836195643472,-16.0
94,49625.707357535015,40468.427493780044,122.98653999672001,-74.13180499134772,-16.0
95,7656.69011539779,20080.66443946408,-16.553714611810136,72.33265607351385,-15.5
96,26315.37757817181,15940.881702848228,85.78673334501406,76.28091613558593,-21.0
97,9559.069455625546,43155.33683216287,-176.90984537161222,-47.82131610222559,-11.0
