Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry
679,454,638,55,0,-3,8619,7989,5.625,5.80078125
680,531,728,24,0,142,9398,10876,28.30078125,28.4765625
681,547,512,5,0,-131,7390,6288,26.3671875,26.54296875
682,615,735,40,0,88,5719,5475,7.55859375,7.734375
683,703,519,1,0,87,9475,9936,21.09375,21.26953125
684,545,524,8,0,85,8761,8686,16.69921875,16.875
685,475,650,8,0,-119,3387,4023,21.796875,21.97265625
686,659,557,7,0,45,8937,8161,11.07421875,11.25
687,720,644,26,0,97,4675,4092,11.07421875,11.25
688,591,512,2,0,-162,9540,8257,32.16796875,32.34375
689,559,680,19,0,164,1267,1467,24.43359375,24.609375
690,738,591,21,0,5,12089,13319,12.12890625,12.3046875
691,473,678,3,0,124,13610,12200,30.05859375,30.234375
692,715,680,17,0,115,8852,9984,26.015625,26.19140625
693,617,638,28,0,87,6578,6804,11.07421875,11.25
694,643,617,58,0,4,8225,7405,7.20703125,7.3828125
695,564,660,49,0,-136,8890,10303,29.53125,29.70703125
696,664,558,17,0,-152,1083,1106,26.3671875,26.54296875
697,744,455,0,0,14,742,1920,4.921875,5.09765625
698,560,577,54,0,-75,661,1820,16.69921875,16.875
699,491,712,32,0,60,7641,7830,6.328125,6.50390625
700,647,600,15,0,71,3552,3997,7.55859375,7.734375
701,593,486,10,0,-150,2029,3155,24.2578125,24.43359375
702,664,618,54,0,109,8724,9133,14.0625,14.23828125
703,671,624,21,0,-47,3848,4658,8.26171875,8.4375
704,518,615,30,0,166,13369,12370,31.2890625,31.46484375
705,695,697,25,0,-173,10081,10348,36.5625,36.73828125
706,673,465,53,0,127,6367,6416,14.58984375,14.765625
707,580,617,32,0,-26,4517,5198,5.80078125,5.9765625
708,627,646,27,0,-179,13032,13263,34.98046875,35.15625
709,606,487,42,0,-80,5966,6633,19.6875,19.86328125
710,575,534,54,0,70,11594,12585,12.12890625,12.3046875
711,602,510,38,0,-180,2725,2629,22.1484375,22.32421875
712,605,701,2,0,-128,9706,9964,31.640625,31.81640625
713,737,615,40,0,-144,11727,12895,34.1015625,34.27734375
714,529,607,38,0,138,8139,7066,20.390625,20.56640625
715,633,591,6,0,130,3125,2743,22.1484375,22.32421875
716,672,566,12,0,82,8331,7210,15.8203125,15.99609375
717,575,719,51,0,178,1908,2697,20.7421875,20.91796875
718,602,538,17,0,-67,3655,3545,11.6015625,11.77734375
719,717,719,2,0,44,1344,1318,3.8671875,4.04296875
720,661,698,32,0,56,2747,4205,-1.0,0.703125
721,686,480,32,0,-48,9259,9615,16.69921875,16.875
722,600,610,43,0,-65,5471,6646,16.69921875,16.875
723,548,547,26,0,15,2401,2170,3.1640625,3.33984375
724,533,560,41,0,-119,11787,11701,29.35546875,29.53125
725,741,505,39,0,8,4899,5250,6.85546875,7.03125
726,562,559,9,0,-137,2146,1135,23.90625,24.08203125
727,616,698,26,0,-62,9018,10128,17.2265625,17.40234375
728,592,646,50,0,68,8421,9398,8.4375,8.61328125
729,629,596,24,0,146,4176,4577,23.203125,23.37890625
730,706,515,40,0,-72,5638,5886,18.984375,19.16015625
731,590,476,58,0,168,12905,12544,25.48828125,25.6640625
732,488,668,42,0,107,10203,9142,14.765625,14.94140625
733,547,469,9,0,-14,11002,9786,11.42578125,11.6015625
734,472,513,21,0,33,4323,5658,-1.0,0.703125
735,529,582,20,0,21,5865,5113,4.21875,4.39453125
736,708,456,1,0,-70,5132,6619,13.53515625,13.7109375
737,594,667,24,0,7,11977,13166,8.26171875,8.4375
738,457,637,56,0,170,6601,7640,21.4453125,21.62109375
739,496,684,58,0,-35,6230,6114,10.1953125,10.37109375
740,648,482,25,0,138,11773,10945,28.4765625,28.65234375
741,558,471,30,0,-44,12477,13760,17.40234375,17.578125
742,561,649,13,0,112,11175,11605,25.48828125,25.6640625
743,695,513,45,0,-49,7884,9097,16.171875,16.34765625
744,659,570,36,0,-49,12449,13478,19.16015625,19.3359375
745,486,587,39,0,-32,4519,4050,6.6796875,6.85546875
746,701,646,4,0,-157,9021,8945,35.859375,36.03515625
747,721,677,10,0,77,10691,10386,18.45703125,18.6328125
748,596,738,16,0,97,7498,8491,16.5234375,16.69921875
749,736,589,55,0,-139,12006,12375,30.76171875,30.9375
750,586,718,44,0,68,3714,2361,-1.0,0.703125
751,504,721,49,0,-155,4128,4435,26.54296875,26.71875
752,602,707,49,0,172,1916,1873,19.6875,19.86328125
753,663,470,44,0,-66,2289,2819,15.29296875,15.46875
754,634,557,58,0,-129,2815,3466,23.02734375,23.203125
755,598,472,12,0,177,11503,12732,32.34375,32.51953125
756,736,576,54,0,-32,7343,7699,13.0078125,13.18359375
757,662,488,25,0,94,5349,5892,13.0078125,13.18359375
758,556,572,43,0,109,1990,3039,7.55859375,7.734375
759,601,629,37,0,79,4660,5369,7.03125,7.20703125
760,576,597,59,0,56,8419,7675,7.03125,7.20703125
761,496,455,18,0,139,2977,2168,18.45703125,18.6328125
762,450,545,30,0,47,7416,7853,6.6796875,6.85546875
763,463,680,16,0,-53,3888,3971,6.328125,6.50390625
764,653,561,11,0,-62,1942,1345,7.91015625,8.0859375
765,613,466,35,0,-61,9891,9792,18.984375,19.16015625
766,708,621,11,0,-39,6392,7667,8.7890625,8.96484375
767,573,523,55,0,178,5249,5533,21.09375,21.26953125
768,671,462,19,0,57,413,1493,5.625,5.80078125
769,586,514,26,0,157,9041,8651,28.125,28.30078125
770,525,662,42,0,-8,1603,2423,-1.0,0.703125
771,688,629,2,0,172,13148,12545,38.84765625,39.0234375
772,463,642,52,0,29,7162,8437,-1.0,0.703125
773,537,522,43,0,155,6073,7376,21.26953125,21.4453125
774,479,538,32,0,1,4467,4061,3.8671875,4.04296875
775,745,667,16,0,-149,3472,2664,30.9375,31.11328125
776,450,634,16,0,97,13564,13506,21.62109375,21.796875
777,606,455,31,0,174,11705,12163,29.70703125,29.8828125
778,577,498,1,0,149,968,1837,22.5,22.67578125
779,482,493,31,0,140,12761,13402,24.9609375,25.13671875
780,627,571,46,0,123,3777,2853,10.1953125,10.37109375
